TAXON_NAME,GEAR_NAME,MESH,EST_NUM_PERM3,BIOMASS_MG_DW_M3,MG_DW_IND
Neocalanus plumchrus,60BON,505,0.009,0.005,0.555555556
Neocalanus cristatus,60BON,505,0.003,0.012,4
Pseudocalanus,60BON,505,0.023,0,0
Pseudocalanus juvenile,60BON,505,0.339,0.001,0.002949853
Pseudocalanus minutus,60BON,505,0.031,0.001,0.032258065
Pseudocalanus acsupes,60BON,505,0.013,0,0
Pseudocalanus newmani,60BON,505,0.186,0.001,0.005376344
Pseudocalanus mimus,60BON,505,0.018,0,0
Tortanus discaudata,60BON,505,,,
Oithona similis,60BON,505,,,
Scolecithricella ovata,60BON,505,,,
Triconia (Oncaea) borelais,60BON,505,,,
Harpacticoida,60BON,505,,,
Calanoid nauplius,60BON,505,,,
Cyclopoid nauplius,60BON,505,,,
Calanoid nauplius(large),60BON,505,,,
Oikopleura vanhoeffeni,60BON,505,0.062,0,0
Fritillaria borealis,60BON,505,165.949,0.03,0.000180778
Limacina helicina,60BON,505,0.172,0.053,0.308139535
Clione limacina,60BON,505,0.007,0.015,2.142857143
Euphausiid nauplius,60BON,505,,,
Euphausiid calytopis,60BON,505,0.006,0,0
Euphausiid juvenile,60BON,505,0.973,0.105,0.107913669
Thysanoessa longipes,60BON,505,,,
Thysanoessa inermis,60BON,505,,,
Thysanoess raschii,60BON,505,0.233,0.736,3.158798283
Thysanoessa spinifera,60BON,505,,,
Pandalidae,60BON,505,0.005,0.019,3.8
Hippollytidae,60BON,505,0.025,0.009,0.36
Parasagitta elegans,60BON,505,3.234,0.327,0.101113173
Podon leuckartii,60BON,505,,,
Themisto abyssorum/pacifica,60BON,505,,,
Themisto libellula,60BON,505,0.006,0.547,91.16666667
Hyperoche medusarum,60BON,505,0.002,0.001,0.5
Gammaridae,60BON,505,,,
Hyperiidae,60BON,505,0.007,0.005,0.714285714
Amhipod (misc.),60BON,505,0.041,0.002,0.048780488
Mertensia ovum,60BON,505,0.134,0.56,4.179104478
Ostracoda,60BON,505,0.004,0,0
Aglantha digitale,60BON,505,0.944,0.679,0.719279661
Aurelia aurita,60BON,505,0.011,0.679,61.72727273
Rathkea octopunctata,60BON,505,0.029,0.111,3.827586207
Aeginopsis laurentii,60BON,505,,,
Catablema vesicarium,60BON,505,0.039,0.01,0.256410256
Melicertum octocostatum,60BON,505,0,0,#DIV/0!
Obelia spp.,60BON,505,0.02,0.001,0.05
Cyanea capillata,60BON,505,0.032,0.522,16.3125
Chrysaora melanaster,60BON,505,,,
Bivalve larvae,60BON,505,0.026,0,0
Decapod zoea,60BON,505,0.906,0.008,0.008830022
Pagurid zoea,60BON,505,0.133,0.001,0.007518797
Barnacle cyprius,60BON,505,5.12,0.118,0.023046875
Barnacle nauplius,60BON,505,0.574,0.001,0.00174216
Zoea (unspecified),60BON,505,,,
Megalops,60BON,505,0.238,0.026,0.109243697
Polychaeta larvae,60BON,505,0.023,0.001,0.043478261
Ophiuroid larvae,60BON,505,,,
Asteroid binpinnaria,60BON,505,,,
Echinoid larvae,60BON,505,,,
